fund_id,as_of,ingested_at,version,instrument_isin,instrument_ticker,instrument_name,quantity,market_value_local,local_ccy,market_value_eur,weight_pct_issuer,weight_pct_recalc,asset_class,country,sector,source,source_url,source_doc_id
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,NL0000009538,RDSA,Shell PLC,4500000,120000000,EUR,120000000,0.10666666666666665,0.10666666666666665,Equity,United Kingdom,Energy,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,FR0000133308,AIR,Airbus SE,2100000,90000000,EUR,90000000,0.07999999999999997,0.07999999999999997,Equity,France,Industrials,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,DE000BASF111,BAS,BASF SE,3800000,65000000,EUR,65000000,0.06666666666666665,0.06666666666666665,Equity,Germany,Materials,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,NL0010273215,ASML,ASML Holding NV,350000,125000000,EUR,125000000,0.11999999999999997,0.11999999999999997,Equity,Netherlands,Information Technology,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,GB0005405286,AZN,AstraZeneca PLC,2700000,95000000,GBP,111000000,0.09333333333333332,0.09333333333333332,Equity,United Kingdom,Health Care,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,IT0000062072,ENEL,Enel SpA,8000000,48000000,EUR,48000000,0.05333333333333332,0.05333333333333332,Equity,Italy,Utilities,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,ES0148396007,IBE,Iberdrola SA,7200000,72000000,EUR,72000000,0.06666666666666665,0.06666666666666665,Equity,Spain,Utilities,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,BE0003793107,KBC,KBC Group NV,1900000,64000000,EUR,64000000,0.05333333333333332,0.05333333333333332,Equity,Belgium,Financials,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,CH0012032048,ROG,Roche Holding AG,420000,110000000,CHF,112000000,0.10666666666666665,0.10666666666666665,Equity,Switzerland,Health Care,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,FI0009000681,NOKIA,Nokia Oyj,10000000,42000000,EUR,42000000,0.03999999999999999,0.03999999999999999,Equity,Finland,Information Technology,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,DK0061539921,NOVO-B,Novo Nordisk A/S B,600000,95000000,DKK,127000000,0.11999999999999997,0.11999999999999997,Equity,Denmark,Health Care,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,LU0061462528,SES,SES SA FDR,3500000,24000000,EUR,24000000,0.02666666666666666,0.02666666666666666,Equity,Luxembourg,Communication Services,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,SE0000108656,SAND,Sandvik AB,4100000,48000000,SEK,42000000,0.03999999999999999,0.03999999999999999,Equity,Sweden,Industrials,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
LU0659580072,2024-03-29,2024-03-30T07:45:00Z,1,CASHCHF,CASH_CHF,Swiss Franc Cash,0,20000000,CHF,20000000,0.02666666666666666,0.02666666666666666,Cash,Switzerland,Cash,ISSUER,https://xtrackers.com/xeond,XEOND-2024-03-29
