fund_id,as_of,ingested_at,version,instrument_isin,instrument_ticker,instrument_name,quantity,market_value_local,local_ccy,market_value_eur,weight_pct_issuer,weight_pct_recalc,asset_class,country,sector,source,source_url,source_doc_id
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US0378331005,AAPL,Apple Inc.,1200000,210000000,USD,192000000,0.114286,0.114286,Equity,United States,Information Technology,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US5949181045,MSFT,Microsoft Corp.,980000,380000000,USD,347000000,0.114286,0.114286,Equity,United States,Information Technology,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US0231351067,AMZN,Amazon.com Inc.,1500000,240000000,USD,219000000,0.1,0.1,Equity,United States,Consumer Discretionary,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US09075V1026,BIIB,Biogen Inc.,200000,46000000,USD,42000000,0.014286,0.014286,Equity,United States,Health Care,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US30303M1027,FB,Meta Platforms Inc.,500000,240000000,USD,219000000,0.085714,0.085714,Equity,United States,Communication Services,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US02079K3059,GOOG,Alphabet Inc. Class C,600000,220000000,USD,201000000,0.071429,0.071429,Equity,United States,Communication Services,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,TW0002330008,TSM,Taiwan Semiconductor,2200000,215000000,TWD,6250000000,0.071429,0.071429,Equity,Taiwan,Information Technology,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,NL0010273215,ASML,ASML Holding NV,550000,160000000,EUR,160000000,0.057143,0.057143,Equity,Netherlands,Information Technology,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,CH0038863350,NESN, Nestle SA,1100000,125000000,CHF,130000000,0.057143,0.057143,Equity,Switzerland,Consumer Staples,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,JP3633400001,7203, Toyota Motor Corp.,1800000,35000000000,JPY,210000000,0.071429,0.071429,Equity,Japan,Consumer Discretionary,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,FR0000121014,MC, LVMH Moet Hennessy Louis Vuitton SE,400000,320000000,EUR,320000000,0.057143,0.057143,Equity,France,Consumer Discretionary,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US9311421039,WMT,Walmart Inc.,900000,135000000,USD,123000000,0.042857,0.042857,Equity,United States,Consumer Staples,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US4781601046,JNJ,Johnson & Johnson,800000,132000000,USD,120000000,0.042857,0.042857,Equity,United States,Health Care,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US92826C8394,V, Visa Inc. Class A,750000,180000000,USD,164000000,0.057143,0.057143,Equity,United States,Financials,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,US88579Y1010,SSO,SolarEdge Technologies Inc.,120000,27000000,USD,24600000,0.014286,0.014286,Equity,United States,Information Technology,ISSUER,https://ishares.com/urth,URTH-2024-03-29
US4642874576,2024-03-29,2024-03-30T08:15:00Z,1,CASHUSD,CASH_USD,US Dollar Cash,0,50000000,USD,50000000,0.028571,0.028571,Cash,United States,Cash,ISSUER,https://ishares.com/urth,URTH-2024-03-29
